model,nb_users,agent_id,run_id,percent
gemma3:12b,100,94,4,0
qwen3:14b,50,27,5,0
gemma3:12b,50,1,3,0
ministral-3:14b,10,4,2,100
ministral-3:14b,75,40,2,0
gemma3:12b,25,6,7,0
gemma3:12b,50,13,1,0
ministral-3:14b,100,8,3,0
qwen3:14b,50,25,6,0
qwen3:14b,100,21,6,100
gemma3:12b,75,14,7,0
qwen3:14b,100,13,2,0
gemma3:12b,75,50,3,0
qwen3:14b,10,3,5,0
ministral-3:14b,1,0,1,100
gemma3:12b,10,0,0,0
qwen3:14b,75,9,7,0
ministral-3:14b,75,28,3,0
gemma3:12b,10,2,9,0
qwen3:14b,100,62,5,0
gemma3:12b,100,47,3,0
qwen3:14b,100,81,6,100
qwen3:14b,75,55,0,100
ministral-3:14b,25,0,1,0
qwen3:14b,50,27,7,100
qwen3:14b,25,13,9,100
gemma3:12b,100,32,3,0
gemma3:12b,10,6,0,0
qwen3:14b,75,52,9,0
qwen3:14b,75,25,5,100
qwen3:14b,50,46,7,0
qwen3:14b,75,3,0,0
gemma3:12b,75,7,8,0
ministral-3:14b,75,42,4,0
qwen3:14b,100,1,2,0
qwen3:14b,75,29,6,100
gemma3:12b,100,76,2,100
gemma3:12b,75,45,1,100
ministral-3:14b,25,10,6,0
qwen3:14b,75,61,6,0
gemma3:12b,75,16,3,0
qwen3:14b,50,27,2,100
gemma3:12b,100,76,5,0
ministral-3:14b,50,23,1,0
gemma3:12b,100,9,6,0
ministral-3:14b,50,13,6,0
gemma3:12b,75,65,5,0
qwen3:14b,50,14,8,100
gemma3:12b,100,39,6,100
ministral-3:14b,100,53,5,0
gemma3:12b,100,69,5,100
qwen3:14b,100,34,9,100
ministral-3:14b,100,96,9,0
ministral-3:14b,100,39,4,0
ministral-3:14b,75,29,4,0
gemma3:12b,100,5,8,0
qwen3:14b,100,38,1,100
gemma3:12b,100,81,3,0
qwen3:14b,100,22,2,100
gemma3:12b,75,54,3,0
ministral-3:14b,75,67,5,100
qwen3:14b,100,61,4,100
ministral-3:14b,75,73,8,0
gemma3:12b,100,9,2,0
gemma3:12b,75,59,1,0
qwen3:14b,75,4,3,100
ministral-3:14b,100,60,8,0
ministral-3:14b,75,64,9,0
qwen3:14b,100,54,6,100
ministral-3:14b,25,5,3,0
qwen3:14b,100,20,9,0
gemma3:12b,100,48,3,0
gemma3:12b,25,22,5,100
qwen3:14b,10,3,8,100
gemma3:12b,75,8,5,100
qwen3:14b,100,8,2,100
qwen3:14b,100,42,4,100
gemma3:12b,25,5,6,0
gemma3:12b,100,70,0,100
qwen3:14b,100,53,3,0
ministral-3:14b,75,68,3,0
gemma3:12b,75,55,0,0
qwen3:14b,25,11,2,100
gemma3:12b,100,69,4,0
gemma3:12b,25,15,6,100
gemma3:12b,75,19,6,100
ministral-3:14b,75,68,4,100
ministral-3:14b,100,86,5,0
qwen3:14b,75,52,2,0
ministral-3:14b,50,33,5,0
qwen3:14b,75,12,2,100
qwen3:14b,25,10,2,100
qwen3:14b,100,30,2,0
qwen3:14b,100,87,7,0
ministral-3:14b,75,47,2,0
qwen3:14b,100,54,9,0
gemma3:12b,100,33,3,0
qwen3:14b,100,91,6,100
gemma3:12b,100,91,3,0
gemma3:12b,100,42,9,0
ministral-3:14b,100,0,1,0
qwen3:14b,75,13,9,100
ministral-3:14b,75,5,4,0
ministral-3:14b,75,4,2,0
gemma3:12b,10,0,4,0
ministral-3:14b,50,24,5,0
qwen3:14b,100,9,9,0
qwen3:14b,100,39,3,0
ministral-3:14b,25,17,6,0
gemma3:12b,25,24,1,100
qwen3:14b,50,38,8,0
ministral-3:14b,50,13,7,0
gemma3:12b,100,19,3,0
qwen3:14b,50,35,5,100
ministral-3:14b,10,4,9,0
gemma3:12b,25,14,1,0
ministral-3:14b,50,28,2,0
ministral-3:14b,100,47,8,0
qwen3:14b,75,15,6,100
ministral-3:14b,75,32,1,0
ministral-3:14b,100,24,4,0
qwen3:14b,100,6,2,0
qwen3:14b,100,77,0,100
gemma3:12b,100,1,9,0
qwen3:14b,100,84,9,0
gemma3:12b,25,20,8,0
qwen3:14b,100,51,4,100
ministral-3:14b,75,44,7,0
ministral-3:14b,50,17,6,0
gemma3:12b,100,78,0,0
gemma3:12b,100,35,7,0
qwen3:14b,10,0,3,100
gemma3:12b,100,35,9,0
qwen3:14b,25,1,0,100
qwen3:14b,100,9,0,0
ministral-3:14b,75,43,9,0
gemma3:12b,75,34,6,100
qwen3:14b,100,36,1,100
qwen3:14b,100,87,2,100
qwen3:14b,50,6,1,0
qwen3:14b,75,66,9,0
qwen3:14b,100,65,3,100
ministral-3:14b,50,31,7,0
gemma3:12b,75,4,5,100
gemma3:12b,100,3,9,0
gemma3:12b,50,39,9,100
gemma3:12b,100,21,8,0
ministral-3:14b,100,94,1,0
ministral-3:14b,50,37,7,0
ministral-3:14b,100,43,8,0
ministral-3:14b,25,7,1,0
qwen3:14b,100,45,2,0
ministral-3:14b,25,3,2,0
qwen3:14b,75,71,8,100
ministral-3:14b,25,22,3,100
qwen3:14b,75,63,1,0
ministral-3:14b,75,50,2,0
qwen3:14b,100,96,6,0
ministral-3:14b,75,72,0,100
ministral-3:14b,100,15,4,0
qwen3:14b,75,45,5,100
ministral-3:14b,100,80,7,0
ministral-3:14b,100,22,3,0
qwen3:14b,100,25,7,0
qwen3:14b,75,52,1,100
qwen3:14b,10,5,5,0
ministral-3:14b,75,20,1,0
qwen3:14b,100,81,2,100
qwen3:14b,50,8,0,100
gemma3:12b,100,10,3,0
qwen3:14b,10,7,5,0
gemma3:12b,75,55,6,0
ministral-3:14b,10,8,0,0
qwen3:14b,100,41,8,100
ministral-3:14b,50,43,7,0
ministral-3:14b,100,21,0,0
qwen3:14b,100,29,2,0
qwen3:14b,75,28,3,0
ministral-3:14b,1,0,0,0
gemma3:12b,100,17,8,0
gemma3:12b,100,4,3,0
gemma3:12b,75,67,0,0
gemma3:12b,50,40,1,0
qwen3:14b,50,3,3,0
gemma3:12b,75,51,9,0
gemma3:12b,100,61,7,0
qwen3:14b,100,17,7,0
gemma3:12b,100,24,7,0
gemma3:12b,75,2,8,0
qwen3:14b,50,10,9,100
ministral-3:14b,100,30,1,0
qwen3:14b,50,7,8,100
qwen3:14b,25,11,4,100
qwen3:14b,25,14,4,100
ministral-3:14b,100,31,8,0
ministral-3:14b,100,0,4,0
gemma3:12b,25,23,3,100
gemma3:12b,100,18,2,0
qwen3:14b,75,12,7,0
ministral-3:14b,100,21,4,100
qwen3:14b,100,55,8,100
qwen3:14b,75,9,5,0
gemma3:12b,25,15,1,0
ministral-3:14b,50,33,0,0
qwen3:14b,75,54,0,100
qwen3:14b,100,45,1,100
ministral-3:14b,100,79,7,0
qwen3:14b,75,60,3,0
qwen3:14b,100,41,4,0
ministral-3:14b,50,46,4,0
ministral-3:14b,75,3,0,0
ministral-3:14b,100,83,3,0
gemma3:12b,50,28,0,0
ministral-3:14b,100,68,2,0
qwen3:14b,25,23,6,0
qwen3:14b,75,12,6,0
gemma3:12b,100,35,8,0
qwen3:14b,100,55,6,100
gemma3:12b,75,10,3,100
gemma3:12b,100,84,9,100
gemma3:12b,50,2,4,0
gemma3:12b,10,2,6,0
qwen3:14b,75,44,0,100
gemma3:12b,100,67,3,0
ministral-3:14b,100,88,6,0
ministral-3:14b,1,0,5,0
gemma3:12b,75,33,5,0
qwen3:14b,75,69,0,100
qwen3:14b,100,46,6,0
gemma3:12b,75,52,2,0
qwen3:14b,100,0,1,100
ministral-3:14b,25,9,5,0
qwen3:14b,100,63,6,100
qwen3:14b,10,4,1,0
qwen3:14b,100,25,3,0
gemma3:12b,75,62,2,100
ministral-3:14b,100,59,5,0
qwen3:14b,50,38,2,0
gemma3:12b,25,7,8,0
gemma3:12b,100,35,1,100
qwen3:14b,100,68,1,0
ministral-3:14b,100,46,2,0
ministral-3:14b,100,28,4,0
qwen3:14b,50,23,1,0
ministral-3:14b,100,78,1,0
gemma3:12b,75,11,1,0
qwen3:14b,75,67,2,0
qwen3:14b,75,61,4,0
qwen3:14b,100,75,3,0
gemma3:12b,75,55,2,0
qwen3:14b,100,28,8,100
ministral-3:14b,75,66,3,0
qwen3:14b,100,78,1,0
qwen3:14b,100,18,2,100
gemma3:12b,100,54,8,0
qwen3:14b,100,25,9,0
qwen3:14b,75,50,9,0
gemma3:12b,75,46,6,0
ministral-3:14b,100,51,9,0
gemma3:12b,75,68,7,0
ministral-3:14b,100,86,8,100
ministral-3:14b,100,97,3,100
qwen3:14b,100,13,0,100
gemma3:12b,100,21,6,0
qwen3:14b,100,72,2,100
ministral-3:14b,100,88,3,0
ministral-3:14b,100,32,0,100
gemma3:12b,100,30,7,0
ministral-3:14b,100,38,8,0
qwen3:14b,75,41,4,0
ministral-3:14b,100,18,7,0
qwen3:14b,75,5,9,0
gemma3:12b,25,19,8,0
gemma3:12b,75,45,4,100
ministral-3:14b,100,84,9,0
qwen3:14b,100,20,4,100
ministral-3:14b,75,58,5,0
gemma3:12b,100,52,1,0
gemma3:12b,10,8,7,0
qwen3:14b,25,9,8,0
gemma3:12b,100,33,6,0
gemma3:12b,100,47,1,100
qwen3:14b,75,19,6,100
gemma3:12b,100,58,2,0
gemma3:12b,50,6,1,0
qwen3:14b,100,94,0,100
gemma3:12b,75,38,1,0
ministral-3:14b,75,48,2,100
ministral-3:14b,50,0,6,0
qwen3:14b,25,3,1,0
gemma3:12b,100,57,4,0
qwen3:14b,100,19,5,100
qwen3:14b,100,68,5,0
ministral-3:14b,25,23,1,0
gemma3:12b,50,30,8,100
ministral-3:14b,50,16,9,100
qwen3:14b,50,46,9,0
qwen3:14b,100,15,1,100
ministral-3:14b,75,0,8,0
gemma3:12b,25,11,5,100
gemma3:12b,50,46,0,100
gemma3:12b,75,7,2,0
qwen3:14b,100,90,8,0
gemma3:12b,100,52,8,0
ministral-3:14b,75,63,9,100
ministral-3:14b,75,9,6,0
qwen3:14b,75,21,0,100
gemma3:12b,100,55,9,100
ministral-3:14b,100,44,4,0
qwen3:14b,75,60,8,100
gemma3:12b,100,65,6,0
gemma3:12b,100,51,0,100
ministral-3:14b,100,1,6,0
qwen3:14b,50,32,0,100
qwen3:14b,75,73,5,100
ministral-3:14b,75,7,3,0
gemma3:12b,100,98,8,0
gemma3:12b,50,30,2,0
qwen3:14b,100,33,1,0
ministral-3:14b,75,50,8,100
qwen3:14b,100,50,6,100
qwen3:14b,50,3,4,0
gemma3:12b,50,38,2,0
gemma3:12b,50,3,5,0
gemma3:12b,100,37,9,0
qwen3:14b,75,5,7,0
qwen3:14b,100,81,0,100
ministral-3:14b,10,2,4,0
ministral-3:14b,75,26,6,0
gemma3:12b,75,43,9,0
gemma3:12b,50,43,0,100
qwen3:14b,100,97,6,100
qwen3:14b,25,19,9,100
ministral-3:14b,75,48,8,0
ministral-3:14b,100,3,5,0
gemma3:12b,50,42,3,0
ministral-3:14b,100,78,3,0
gemma3:12b,100,31,2,0
qwen3:14b,50,28,3,100
ministral-3:14b,75,36,5,100
ministral-3:14b,25,20,0,100
qwen3:14b,75,67,0,100
qwen3:14b,25,9,9,100
gemma3:12b,50,35,3,0
gemma3:12b,100,56,3,0
ministral-3:14b,50,8,0,0
qwen3:14b,25,6,5,0
ministral-3:14b,75,52,1,0
qwen3:14b,100,58,1,0
ministral-3:14b,75,74,3,0
gemma3:12b,25,21,2,100
ministral-3:14b,100,51,2,0
ministral-3:14b,1,0,9,0
gemma3:12b,100,70,7,0
gemma3:12b,50,1,6,0
gemma3:12b,100,27,6,0
gemma3:12b,100,32,8,0
ministral-3:14b,50,0,5,0
ministral-3:14b,75,17,3,0
ministral-3:14b,50,40,4,0
gemma3:12b,25,24,5,100
ministral-3:14b,100,5,0,0
ministral-3:14b,25,17,5,0
ministral-3:14b,75,39,1,0
qwen3:14b,100,0,5,100
qwen3:14b,100,67,1,100
ministral-3:14b,100,9,6,0
ministral-3:14b,100,72,4,0
qwen3:14b,100,58,2,100
qwen3:14b,50,22,4,0
ministral-3:14b,50,11,7,0
qwen3:14b,75,31,2,100
gemma3:12b,100,49,2,0
ministral-3:14b,50,39,2,0
qwen3:14b,75,23,1,100
gemma3:12b,25,10,1,0
ministral-3:14b,50,35,2,0
gemma3:12b,25,12,6,0
ministral-3:14b,100,63,4,0
qwen3:14b,50,48,3,100
qwen3:14b,75,52,0,100
gemma3:12b,75,43,3,0
qwen3:14b,100,8,7,0
gemma3:12b,100,55,1,100
qwen3:14b,75,20,0,0
ministral-3:14b,50,14,1,0
qwen3:14b,25,12,5,100
gemma3:12b,100,81,6,0
ministral-3:14b,75,51,4,0
qwen3:14b,75,46,8,0
gemma3:12b,100,62,0,100
ministral-3:14b,75,45,2,0
ministral-3:14b,10,7,9,0
ministral-3:14b,100,94,8,0
ministral-3:14b,100,61,4,0
gemma3:12b,75,72,3,0
qwen3:14b,50,21,9,0
ministral-3:14b,50,37,0,0
ministral-3:14b,100,70,0,0
gemma3:12b,25,17,2,100
gemma3:12b,75,36,6,100
gemma3:12b,100,45,2,0
ministral-3:14b,75,42,5,100
ministral-3:14b,100,29,5,0
gemma3:12b,100,86,0,0
qwen3:14b,75,10,6,100
gemma3:12b,75,5,1,0
ministral-3:14b,100,50,4,0
ministral-3:14b,75,7,8,0
ministral-3:14b,50,45,4,0
ministral-3:14b,100,94,0,0
qwen3:14b,100,90,4,100
gemma3:12b,100,67,4,0
ministral-3:14b,75,43,2,0
gemma3:12b,75,11,2,100
qwen3:14b,25,0,9,100
ministral-3:14b,50,41,8,0
ministral-3:14b,75,14,4,0
