GPU_Name;Impact Category;Unit;Casing;Heatsink;PCB;Main dies;POP;Upstream transport
GEFORCE GTX 1080 Ti;CTUh-c - Human toxicity, cancer;CTUh;1.30e-08;1.14e-05;4.28e-09;7.08e-09;0.00;4.26e-12
GEFORCE GTX 1080 Ti;CTUh-nc - Human toxicity, non-cancer;CTUh;1.30e-06;1.45e-06;2.27e-07;4.44e-07;0.00;5.28e-10
GEFORCE GTX 1080 Ti;IR - Ionising radiation, human health;kBq U-235 eq;2.28;173.0;23.5;0.811;0.00;0.000581
GEFORCE GTX 1080 Ti;LU - Land use;Pt;0.0773;1.90;0.0323;0.103;0.00;0.00
GEFORCE GTX 1080 Ti;ODP - Ozone depletion;kg CFC11 eq;5.16e-07;4.19e-07;1.49e-06;1.57e-05;0.00;3.65e-10
GEFORCE GTX 1080 Ti;POCP - Photochemical ozone formation - human health;kg NMVOC eq;0.00732;0.0126;0.0299;0.132;0.00;0.00209
GEFORCE GTX 1080 Ti;ADPf - Resource use, fossils;MJ;40.6;22.6;164.0;692.0;0.00;3.33
GEFORCE GTX 1080 Ti;ADPe - Resource use, minerals and metals;kg Sb eq;0.000151;0.000842;0.00277;0.00146;0.00;9.38e-09
GEFORCE GTX 1080 Ti;WU - Water use;m3;1.36;5.25;3.61;16.7;0.00;0.000905
Nvidia L4;AP - Acidification;mol H+ eq;0.00;0.0114;0.0296;0.318;0.00;0.000263
Nvidia L4;GWP - Climate change;kg CO2 eq;0.00;0.590;3.65;53.2;0.00;0.0394
Nvidia L4;CTUe - Ecotoxicity, freshwater;CTUe;0.00;11.2;55.5;644.0;0.00;0.0265
Nvidia L4;PM - EF-particulate Matter;disease occurrence;0.00;6.74e-08;1.56e-07;1.75e-06;0.00;2.27e-09
Nvidia L4;Epf - Eutrophication, freshwater;kg P eq;0.00;7.63e-05;1.16e-05;0.000102;0.00;1.48e-08
Nvidia L4;Epm - Eutrophication marine;kg N eq;0.00;0.000460;0.00269;0.0350;0.00;0.000124
Nvidia L4;Ept - Eutrophication, terrestrial;mol N eq;0.00;0.00474;0.0289;0.368;0.00;0.00136
Nvidia L4;CTUh-c - Human toxicity, cancer;CTUh;0.00;1.07e-06;1.76e-09;6.70e-09;0.00;7.03e-13
Nvidia L4;CTUh-nc - Human toxicity, non-cancer;CTUh;0.00;1.48e-07;1.01e-07;4.25e-07;0.00;8.71e-11
Nvidia L4;IR - Ionising radiation, human health;kBq U-235 eq;0.00;16.2;0.572;0.794;0.00;9.58e-05
Nvidia L4;LU - Land use;Pt;0.00;0.178;0.0137;0.0691;0.00;0.00
Nvidia L4;ODP - Ozone depletion;kg CFC11 eq;0.00;3.93e-08;5.14e-07;1.24e-05;0.00;6.03e-11
Nvidia L4;POCP - Photochemical ozone formation - human health;kg NMVOC eq;0.00;0.00214;0.0104;0.120;0.00;0.000345
Nvidia L4;ADPf - Resource use, fossils;MJ;0.00;8.86;56.2;613.0;0.00;0.549
Nvidia L4;ADPe - Resource use, minerals and metals;kg Sb eq;0.00;7.82e-05;0.000813;0.00159;0.00;1.55e-09
Nvidia L4;WU - Water use;m3;0.00;0.557;1.44;13.3;0.00;0.000149
